center_x,center_y,inner_x,inner_y,outer_x,outer_y,dist_inner,dist_outer
211.0,255.0,211.0,270.00392156862745,208.0,239.99607843137255,15.003921568627447,15.300903974521372
217.0,255.0,216.0,270.00392156862745,212.0,238.99607843137255,15.037209263607524,16.766797713778825
223.0,255.0,223.0,271.00392156862745,217.0,236.99607843137255,16.003921568627447,18.977386328187784
229.0,254.0,229.0,271.00392156862745,219.0,235.99607843137255,17.003921568627447,20.594688437781443
235.0,254.0,230.0,271.00392156862745,225.0,232.99607843137255,17.72380739886421,23.262947389809685
241.0,253.0,238.0,273.00392156862745,231.0,229.99607843137255,20.227626606297594,25.08346880986685
247.0,252.0,247.0,274.00392156862745,231.0,229.99607843137255,22.003921568627447,27.20611262930278
253.0,249.0,250.0,274.00392156862745,232.0,228.99607843137255,25.183250263023492,29.00270466911316
258.0,243.0,282.00392156862745,243.0,234.99607843137255,226.0,24.003921568627447,28.603853019052575
260.0,237.0,282.00392156862745,242.0,238.99607843137255,220.0,22.564852412508888,27.02156030396937
262.0,231.0,283.00392156862745,231.0,238.99607843137255,220.0,21.003921568627447,25.498635405361657
263.0,225.0,283.00392156862745,230.0,242.99607843137255,212.0,20.619332630417464,23.8570089936647
264.0,219.0,284.00392156862745,224.0,242.99607843137255,212.0,20.619332630417464,22.13966398256878
264.0,213.0,284.00392156862745,206.0,244.99607843137255,207.0,21.19332154533117,19.928598420023008
264.0,207.0,284.00392156862745,206.0,244.99607843137255,207.0,20.028901071296907,19.003921568627447
264.0,201.0,284.00392156862745,201.0,244.99607843137255,201.0,20.003921568627447,19.003921568627447
264.0,195.0,284.00392156862745,200.0,244.99607843137255,195.0,20.619332630417464,19.003921568627447
264.0,189.0,284.00392156862745,200.0,244.99607843137255,189.0,22.82886064007134,19.003921568627447
264.0,183.0,287.00392156862745,190.0,244.99607843137255,187.0,24.045382249728597,19.420325305888763
265.0,177.0,289.00392156862745,177.0,243.99607843137255,172.0,24.003921568627447,21.590848090361185
266.0,171.0,289.00392156862745,173.0,243.99607843137255,171.0,23.09069958956556,22.003921568627447
266.0,165.0,289.00392156862745,159.0,243.99607843137255,170.0,23.773523246156913,22.564852412508888
266.0,159.0,289.00392156862745,159.0,242.99607843137255,165.0,23.003921568627447,23.773523246156913
266.0,153.0,289.00392156862745,153.0,241.99607843137255,160.0,23.003921568627447,25.003764729992522
264.0,147.0,289.00392156862745,147.0,241.99607843137255,160.0,25.003921568627447,25.5572409386911
262.0,141.0,254.0,115.99607843137255,241.99607843137255,160.0,26.25254452067595,27.589071715514432
257.0,137.0,254.0,115.99607843137255,238.0,156.00392156862745,21.217085597721788,26.87283079592739
251.0,136.0,251.0,115.99607843137255,237.0,155.00392156862745,20.003921568627447,23.604004638758727
245.0,136.0,242.0,117.99607843137255,237.0,155.00392156862745,18.252155813746732,20.61914244061919
239.0,135.0,240.0,117.99607843137255,233.0,154.00392156862745,17.033301168946487,19.928598420023008
233.0,135.0,240.0,117.99607843137255,230.0,153.00392156862745,18.38840256009297,18.252155813746732
